site_id,country,text_color,bg_color,font_size_px,font_weight,contrast_ratio,L_text,a_text,b_text,L_bg,a_bg,b_bg,es_texto_grande,clasificacion,cumple_aa,cluster
U0155,Uruguay,"rgb(255, 255, 255)","rgb(255, 255, 255)",15.0,300,1.0,100.0,0.0052604999583039,-0.0104081845252679,100.0,0.0052604999583039,-0.0104081845252679,False,falla,False,0
U0155,Uruguay,"rgb(255, 255, 255)","rgb(255, 255, 255)",15.0,300,1.0,100.0,0.0052604999583039,-0.0104081845252679,100.0,0.0052604999583039,-0.0104081845252679,False,falla,False,0
U0155,Uruguay,"rgb(255, 255, 255)","rgb(255, 255, 255)",15.0,300,1.0,100.0,0.0052604999583039,-0.0104081845252679,100.0,0.0052604999583039,-0.0104081845252679,False,falla,False,0
U0155,Uruguay,"rgb(255, 255, 255)","rgb(255, 255, 255)",22.0,400,1.0,100.0,0.0052604999583039,-0.0104081845252679,100.0,0.0052604999583039,-0.0104081845252679,False,falla,False,0
U0155,Uruguay,"rgb(255, 255, 255)","rgb(255, 255, 255)",22.0,400,1.0,100.0,0.0052604999583039,-0.0104081845252679,100.0,0.0052604999583039,-0.0104081845252679,False,falla,False,0
U0155,Uruguay,"rgb(255, 255, 255)","rgb(255, 255, 255)",22.0,400,1.0,100.0,0.0052604999583039,-0.0104081845252679,100.0,0.0052604999583039,-0.0104081845252679,False,falla,False,0
U0155,Uruguay,"rgb(255, 255, 255)","rgb(255, 255, 255)",22.0,400,1.0,100.0,0.0052604999583039,-0.0104081845252679,100.0,0.0052604999583039,-0.0104081845252679,False,falla,False,0
U0155,Uruguay,"rgb(255, 255, 255)","rgb(255, 255, 255)",22.0,400,1.0,100.0,0.0052604999583039,-0.0104081845252679,100.0,0.0052604999583039,-0.0104081845252679,False,falla,False,0
U0155,Uruguay,"rgb(255, 255, 255)","rgb(255, 255, 255)",22.0,400,1.0,100.0,0.0052604999583039,-0.0104081845252679,100.0,0.0052604999583039,-0.0104081845252679,False,falla,False,0
U0155,Uruguay,"rgb(255, 255, 255)","rgb(14, 175, 177)",36.0,600,2.697312855735828,100.0,0.0052604999583039,-0.0104081845252679,64.90508813112389,-35.14600579912591,-11.560037431852678,True,falla,False,0
U0155,Uruguay,"rgb(255, 255, 255)","rgb(14, 175, 177)",36.0,600,2.697312855735828,100.0,0.0052604999583039,-0.0104081845252679,64.90508813112389,-35.14600579912591,-11.560037431852678,True,falla,False,0
U0155,Uruguay,"rgb(255, 255, 255)","rgb(14, 175, 177)",36.0,600,2.697312855735828,100.0,0.0052604999583039,-0.0104081845252679,64.90508813112389,-35.14600579912591,-11.560037431852678,True,falla,False,0
U0155,Uruguay,"rgb(255, 255, 255)","rgb(14, 175, 177)",36.0,600,2.697312855735828,100.0,0.0052604999583039,-0.0104081845252679,64.90508813112389,-35.14600579912591,-11.560037431852678,True,falla,False,0
U0155,Uruguay,"rgb(255, 255, 255)","rgb(14, 175, 177)",36.0,600,2.697312855735828,100.0,0.0052604999583039,-0.0104081845252679,64.90508813112389,-35.14600579912591,-11.560037431852678,True,falla,False,0
U0155,Uruguay,"rgb(255, 255, 255)","rgb(14, 175, 177)",36.0,600,2.697312855735828,100.0,0.0052604999583039,-0.0104081845252679,64.90508813112389,-35.14600579912591,-11.560037431852678,True,falla,False,0
U0155,Uruguay,"rgb(255, 255, 255)","rgb(14, 175, 177)",36.0,600,2.697312855735828,100.0,0.0052604999583039,-0.0104081845252679,64.90508813112389,-35.14600579912591,-11.560037431852678,True,falla,False,0
U0155,Uruguay,"rgb(255, 255, 255)","rgb(14, 175, 177)",36.0,600,2.697312855735828,100.0,0.0052604999583039,-0.0104081845252679,64.90508813112389,-35.14600579912591,-11.560037431852678,True,falla,False,0
U0155,Uruguay,"rgb(161, 137, 189)","rgb(208, 209, 210)",15.0,500,2.0110989787379374,60.907196013912525,19.316742173542288,-23.771119704938727,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,4
U0155,Uruguay,"rgb(161, 137, 189)","rgb(208, 209, 210)",15.0,500,2.0110989787379374,60.907196013912525,19.316742173542288,-23.771119704938727,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,4
U0155,Uruguay,"rgb(161, 137, 189)","rgb(208, 209, 210)",15.0,500,2.0110989787379374,60.907196013912525,19.316742173542288,-23.771119704938727,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,4
U0155,Uruguay,"rgb(87, 167, 220)","rgb(208, 209, 210)",15.0,500,1.723883614272998,65.61685849520477,-8.858110665446617,-34.180253529354566,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,2
U0155,Uruguay,"rgb(87, 167, 220)","rgb(208, 209, 210)",15.0,500,1.723883614272998,65.61685849520477,-8.858110665446617,-34.180253529354566,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,2
U0155,Uruguay,"rgb(224, 114, 25)","rgb(208, 209, 210)",15.0,500,2.083750395093805,59.845446449892975,37.942878841014775,62.30055305317529,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,1
U0155,Uruguay,"rgb(224, 114, 25)","rgb(208, 209, 210)",15.0,500,2.083750395093805,59.845446449892975,37.942878841014775,62.30055305317529,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,1
U0155,Uruguay,"rgb(224, 114, 25)","rgb(208, 209, 210)",15.0,500,2.083750395093805,59.845446449892975,37.942878841014775,62.30055305317529,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,1
U0155,Uruguay,"rgb(0, 159, 162)","rgb(208, 209, 210)",15.0,500,2.1189372364014694,59.34725661304364,-32.83140416495572,-11.486533486568163,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,3
U0155,Uruguay,"rgb(0, 159, 162)","rgb(208, 209, 210)",15.0,500,2.1189372364014694,59.34725661304364,-32.83140416495572,-11.486533486568163,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,3
U0155,Uruguay,"rgb(161, 137, 189)","rgb(208, 209, 210)",15.0,500,2.0110989787379374,60.907196013912525,19.316742173542288,-23.771119704938727,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,4
U0155,Uruguay,"rgb(161, 137, 189)","rgb(208, 209, 210)",15.0,500,2.0110989787379374,60.907196013912525,19.316742173542288,-23.771119704938727,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,4
U0155,Uruguay,"rgb(161, 137, 189)","rgb(208, 209, 210)",15.0,500,2.0110989787379374,60.907196013912525,19.316742173542288,-23.771119704938727,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,4
U0155,Uruguay,"rgb(87, 167, 220)","rgb(208, 209, 210)",15.0,500,1.723883614272998,65.61685849520477,-8.858110665446617,-34.180253529354566,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,2
U0155,Uruguay,"rgb(87, 167, 220)","rgb(208, 209, 210)",15.0,500,1.723883614272998,65.61685849520477,-8.858110665446617,-34.180253529354566,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,2
U0155,Uruguay,"rgb(87, 167, 220)","rgb(208, 209, 210)",15.0,500,1.723883614272998,65.61685849520477,-8.858110665446617,-34.180253529354566,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,2
U0155,Uruguay,"rgb(224, 114, 25)","rgb(208, 209, 210)",15.0,500,2.083750395093805,59.845446449892975,37.942878841014775,62.30055305317529,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,1
U0155,Uruguay,"rgb(224, 114, 25)","rgb(208, 209, 210)",15.0,500,2.083750395093805,59.845446449892975,37.942878841014775,62.30055305317529,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,1
U0155,Uruguay,"rgb(224, 114, 25)","rgb(208, 209, 210)",15.0,500,2.083750395093805,59.845446449892975,37.942878841014775,62.30055305317529,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,1
U0155,Uruguay,"rgb(0, 159, 162)","rgb(208, 209, 210)",15.0,500,2.1189372364014694,59.34725661304364,-32.83140416495572,-11.486533486568163,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,3
U0155,Uruguay,"rgb(0, 159, 162)","rgb(208, 209, 210)",15.0,500,2.1189372364014694,59.34725661304364,-32.83140416495572,-11.486533486568163,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,3
U0155,Uruguay,"rgb(0, 159, 162)","rgb(208, 209, 210)",15.0,500,2.1189372364014694,59.34725661304364,-32.83140416495572,-11.486533486568163,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,3
U0155,Uruguay,"rgb(161, 137, 189)","rgb(208, 209, 210)",15.0,500,2.0110989787379374,60.907196013912525,19.316742173542288,-23.771119704938727,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,4
U0155,Uruguay,"rgb(161, 137, 189)","rgb(208, 209, 210)",15.0,500,2.0110989787379374,60.907196013912525,19.316742173542288,-23.771119704938727,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,4
U0155,Uruguay,"rgb(161, 137, 189)","rgb(208, 209, 210)",15.0,500,2.0110989787379374,60.907196013912525,19.316742173542288,-23.771119704938727,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,4
U0155,Uruguay,"rgb(87, 167, 220)","rgb(208, 209, 210)",15.0,500,1.723883614272998,65.61685849520477,-8.858110665446617,-34.180253529354566,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,2
U0155,Uruguay,"rgb(87, 167, 220)","rgb(208, 209, 210)",15.0,500,1.723883614272998,65.61685849520477,-8.858110665446617,-34.180253529354566,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,2
U0155,Uruguay,"rgb(87, 167, 220)","rgb(208, 209, 210)",15.0,500,1.723883614272998,65.61685849520477,-8.858110665446617,-34.180253529354566,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,2
U0155,Uruguay,"rgb(224, 114, 25)","rgb(208, 209, 210)",15.0,500,2.083750395093805,59.845446449892975,37.942878841014775,62.30055305317529,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,1
U0155,Uruguay,"rgb(224, 114, 25)","rgb(208, 209, 210)",15.0,500,2.083750395093805,59.845446449892975,37.942878841014775,62.30055305317529,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,1
U0155,Uruguay,"rgb(0, 159, 162)","rgb(208, 209, 210)",15.0,500,2.1189372364014694,59.34725661304364,-32.83140416495572,-11.486533486568163,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,3
U0155,Uruguay,"rgb(0, 159, 162)","rgb(208, 209, 210)",15.0,500,2.1189372364014694,59.34725661304364,-32.83140416495572,-11.486533486568163,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,3
U0155,Uruguay,"rgb(161, 137, 189)","rgb(208, 209, 210)",15.0,500,2.0110989787379374,60.907196013912525,19.316742173542288,-23.771119704938727,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,4
U0155,Uruguay,"rgb(161, 137, 189)","rgb(208, 209, 210)",15.0,500,2.0110989787379374,60.907196013912525,19.316742173542288,-23.771119704938727,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,4
U0155,Uruguay,"rgb(161, 137, 189)","rgb(208, 209, 210)",15.0,500,2.0110989787379374,60.907196013912525,19.316742173542288,-23.771119704938727,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,4
U0155,Uruguay,"rgb(87, 167, 220)","rgb(208, 209, 210)",15.0,500,1.723883614272998,65.61685849520477,-8.858110665446617,-34.180253529354566,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,2
U0155,Uruguay,"rgb(87, 167, 220)","rgb(208, 209, 210)",15.0,500,1.723883614272998,65.61685849520477,-8.858110665446617,-34.180253529354566,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,2
U0155,Uruguay,"rgb(87, 167, 220)","rgb(208, 209, 210)",15.0,500,1.723883614272998,65.61685849520477,-8.858110665446617,-34.180253529354566,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,2
U0155,Uruguay,"rgb(224, 114, 25)","rgb(208, 209, 210)",15.0,500,2.083750395093805,59.845446449892975,37.942878841014775,62.30055305317529,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,1
U0155,Uruguay,"rgb(224, 114, 25)","rgb(208, 209, 210)",15.0,500,2.083750395093805,59.845446449892975,37.942878841014775,62.30055305317529,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,1
U0155,Uruguay,"rgb(224, 114, 25)","rgb(208, 209, 210)",15.0,500,2.083750395093805,59.845446449892975,37.942878841014775,62.30055305317529,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,1
U0155,Uruguay,"rgb(0, 159, 162)","rgb(208, 209, 210)",15.0,500,2.1189372364014694,59.34725661304364,-32.83140416495572,-11.486533486568163,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,3
U0155,Uruguay,"rgb(0, 159, 162)","rgb(208, 209, 210)",15.0,500,2.1189372364014694,59.34725661304364,-32.83140416495572,-11.486533486568163,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,3
U0155,Uruguay,"rgb(0, 159, 162)","rgb(208, 209, 210)",15.0,500,2.1189372364014694,59.34725661304364,-32.83140416495572,-11.486533486568163,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,3
U0155,Uruguay,"rgb(161, 137, 189)","rgb(208, 209, 210)",15.0,500,2.0110989787379374,60.907196013912525,19.316742173542288,-23.771119704938727,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,4
U0155,Uruguay,"rgb(161, 137, 189)","rgb(208, 209, 210)",15.0,500,2.0110989787379374,60.907196013912525,19.316742173542288,-23.771119704938727,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,4
U0155,Uruguay,"rgb(161, 137, 189)","rgb(208, 209, 210)",15.0,500,2.0110989787379374,60.907196013912525,19.316742173542288,-23.771119704938727,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,4
U0155,Uruguay,"rgb(87, 167, 220)","rgb(208, 209, 210)",15.0,500,1.723883614272998,65.61685849520477,-8.858110665446617,-34.180253529354566,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,2
U0155,Uruguay,"rgb(87, 167, 220)","rgb(208, 209, 210)",15.0,500,1.723883614272998,65.61685849520477,-8.858110665446617,-34.180253529354566,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,2
U0155,Uruguay,"rgb(224, 114, 25)","rgb(208, 209, 210)",15.0,500,2.083750395093805,59.845446449892975,37.942878841014775,62.30055305317529,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,1
U0155,Uruguay,"rgb(224, 114, 25)","rgb(208, 209, 210)",15.0,500,2.083750395093805,59.845446449892975,37.942878841014775,62.30055305317529,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,1
U0155,Uruguay,"rgb(224, 114, 25)","rgb(208, 209, 210)",15.0,500,2.083750395093805,59.845446449892975,37.942878841014775,62.30055305317529,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,1
U0155,Uruguay,"rgb(0, 159, 162)","rgb(208, 209, 210)",15.0,500,2.1189372364014694,59.34725661304364,-32.83140416495572,-11.486533486568163,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,3
U0155,Uruguay,"rgb(0, 159, 162)","rgb(208, 209, 210)",15.0,500,2.1189372364014694,59.34725661304364,-32.83140416495572,-11.486533486568163,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,3
U0155,Uruguay,"rgb(0, 159, 162)","rgb(208, 209, 210)",15.0,500,2.1189372364014694,59.34725661304364,-32.83140416495572,-11.486533486568163,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,3
U0155,Uruguay,"rgb(161, 137, 189)","rgb(208, 209, 210)",15.0,500,2.0110989787379374,60.907196013912525,19.316742173542288,-23.771119704938727,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,4
U0155,Uruguay,"rgb(161, 137, 189)","rgb(208, 209, 210)",15.0,500,2.0110989787379374,60.907196013912525,19.316742173542288,-23.771119704938727,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,4
U0155,Uruguay,"rgb(161, 137, 189)","rgb(208, 209, 210)",15.0,500,2.0110989787379374,60.907196013912525,19.316742173542288,-23.771119704938727,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,4
U0155,Uruguay,"rgb(87, 167, 220)","rgb(208, 209, 210)",15.0,500,1.723883614272998,65.61685849520477,-8.858110665446617,-34.180253529354566,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,2
U0155,Uruguay,"rgb(87, 167, 220)","rgb(208, 209, 210)",15.0,500,1.723883614272998,65.61685849520477,-8.858110665446617,-34.180253529354566,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,2
U0155,Uruguay,"rgb(224, 114, 25)","rgb(208, 209, 210)",15.0,500,2.083750395093805,59.845446449892975,37.942878841014775,62.30055305317529,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,1
U0155,Uruguay,"rgb(224, 114, 25)","rgb(208, 209, 210)",15.0,500,2.083750395093805,59.845446449892975,37.942878841014775,62.30055305317529,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,1
U0155,Uruguay,"rgb(224, 114, 25)","rgb(208, 209, 210)",15.0,500,2.083750395093805,59.845446449892975,37.942878841014775,62.30055305317529,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,1
U0155,Uruguay,"rgb(0, 159, 162)","rgb(208, 209, 210)",15.0,500,2.1189372364014694,59.34725661304364,-32.83140416495572,-11.486533486568163,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,3
U0155,Uruguay,"rgb(0, 159, 162)","rgb(208, 209, 210)",15.0,500,2.1189372364014694,59.34725661304364,-32.83140416495572,-11.486533486568163,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,3
U0155,Uruguay,"rgb(0, 159, 162)","rgb(208, 209, 210)",15.0,500,2.1189372364014694,59.34725661304364,-32.83140416495572,-11.486533486568163,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,3
U0155,Uruguay,"rgb(161, 137, 189)","rgb(208, 209, 210)",15.0,500,2.0110989787379374,60.907196013912525,19.316742173542288,-23.771119704938727,83.79050599531648,-0.1539398798000024,-0.6232703592069733,False,falla,False,4
